Skjermkort 2;Dette er vårt nest billigste skjermkort;12;399.0;Skjermkort
4GB RAM;Dette er vårt billigste minnekort;5;299.0;Minnekort
128 GB SSD;blabla;5;299.0;Harddisk
Intel Core I5;hei;5;99.0;Prosessor
Strømforsyning 2;noe;5;399.0;Strømforsyning
Lydkort 2;Dette er bedre;7;799.0;Lydkort
Optisk disk 1;ikke et minnekort;5;299.0;Optisk disk
Vaniljerød;En fin blanding av rød rose og hvit vanilje;10;299.0;Farge
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
Mus 2;Passer til alle pcer;5;499.0;Andre produkter
