Skjermkort 2;Dette er vårt nest billigste skjermkort;10;399.0;Skjermkort
4GB RAM;Dette er vårt billigste minnekort;5;299.0;Minnekort
128 GB SSD;Egnet til pcer for vanlig bruk;5;299.0;Harddisk
Intel Core I3;Eldre versjon av prosessor;5;299.0;Prosessor
Strømforsyning 1;0.5 meter ledning;5;299.0;Strømforsyning
Lydkort 1;God lyd;5;299.0;Lydkort
Optisk disk 1;God opplevelse til daglige gjøremål;5;299.0;Optisk disk
Svart som olje;En tøff oljesvart farge med glans.;10;499.0;Farge
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
Headset 1;Nyeste på markedet, god kvalitet;10;100.0;Andre produkter
