Skjermkort 2;Dette er vårt nest billigste skjermkort.;10;7299.0;Skjermkort;./src/Datamaskin/images/missingImage.png
8GB RAM;Dette er vårt beste minnekort.;10;1699.0;Minnekort;./src/Datamaskin/images/missingImage.png
256 GB SSD;Dette er en harddisk med rask lagring.;7;2999.0;Harddisk;./src/Datamaskin/images/missingImage.png
Intel Core I5;Nyere versjon av prosessor.;8;3499.0;Prosessor;./src/Datamaskin/images/missingImage.png
Strømforsyning 2000;Nesten stillegående. Ekstremt tett spenningskontroll. Japanske kondensatorer;7;3399.0;Strømforsyning;./src/Datamaskin/images/missingImage.png
Soundblaster AE9;Banebrytende audiofilteknologi. Det beste PCI-lydkortet som er laget.;7;3490.0;Lydkort;./src/Datamaskin/images/missingImage.png
Optisk disk 2;Godt egnet for gaming.;7;1429.0;Optisk disk;./src/Datamaskin/images/missingImage.png
Svart som olje;En tøff oljesvart farge med glans.;10;499.0;Farge;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Tastatur 1;Dette er vårt billigste tastatur.;3;179.0;Andre produkter;./src/Datamaskin/images/keyboard1.jpg
Tastatur 1;Dette er vårt billigste tastatur.;3;179.0;Andre produkter;./src/Datamaskin/images/keyboard1.jpg
Tastatur 1;Dette er vårt billigste tastatur.;3;179.0;Andre produkter;./src/Datamaskin/images/keyboard1.jpg
