Skjermkort 1;Dette er vårt billigste skjermkort.;7;3299.0;Skjermkort;./src/Datamaskin/images/missingImage.png
4GB RAM;Dette er vårt billigste minnekort.;5;899.0;Minnekort;./src/Datamaskin/images/missingImage.png
128 GB SSD;Egnet til pcer for vanlig bruk.;5;1299.0;Harddisk;./src/Datamaskin/images/missingImage.png
Intel Core I3;Eldre versjon av prosessor.;5;2299.0;Prosessor;./src/Datamaskin/images/missingImage.png
Strømforsyning 1000;Effektkapasitet: stram spenningsregulering, nesten lydløs operasjon;5;1595.0;Strømforsyning;./src/Datamaskin/images/missingImage.png
Soundblaster X Æ A-12;Høy oppløsning. Diskré hodetelefonforsterker.;5;1299.0;Lydkort;./src/Datamaskin/images/missingImage.png
Optisk disk 1;God opplevelse til daglige gjøremål.;5;429.0;Optisk disk;./src/Datamaskin/images/missingImage.png
Rød;En fin farge inspirert av rød rose.;10;290.0;Farge;./src/Datamaskin/images/missingImage.png
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
Headset 2;Svært god lydkvalitet.;5;600.0;Andre produkter;./src/Datamaskin/images/headset2.jpg
